Epoch : 1, MSE : 54.03731254056564

Epoch : 2, MSE : 53.16543295273881

Epoch : 3, MSE : 52.38884198825491

Epoch : 4, MSE : 51.723835565679856

Epoch : 5, MSE : 51.13306163094844

Epoch : 6, MSE : 50.61419930121174

Epoch : 7, MSE : 50.134484767611255

Epoch : 8, MSE : 49.675010275090585

Epoch : 9, MSE : 49.212419120902844

Epoch : 10, MSE : 48.75199110576716

Epoch : 11, MSE : 48.26296008098631

Epoch : 12, MSE : 47.72933888114256

Epoch : 13, MSE : 47.147043231539186

Epoch : 14, MSE : 46.541664060386104

Epoch : 15, MSE : 45.905627453237756

Epoch : 16, MSE : 45.208459283153836

Epoch : 17, MSE : 44.451967565580176

Epoch : 18, MSE : 43.60351001026704

Epoch : 19, MSE : 42.65495270226676

Epoch : 20, MSE : 41.582829838928866

Epoch : 21, MSE : 40.353594406247936

Epoch : 22, MSE : 38.953330024773955

Epoch : 23, MSE : 37.30499903434789

Epoch : 24, MSE : 35.417494137049594

Epoch : 25, MSE : 33.2733642828032

Epoch : 26, MSE : 30.77355002148316

Epoch : 27, MSE : 27.946958182225167

Epoch : 28, MSE : 24.85534710544684

Epoch : 29, MSE : 21.6516061393017

Epoch : 30, MSE : 18.323245533746636

Epoch : 31, MSE : 15.18108888885835

Epoch : 32, MSE : 12.41529710525259

Epoch : 33, MSE : 10.095936401200246

Epoch : 34, MSE : 8.226703596950758

Epoch : 35, MSE : 6.786806133427135

Epoch : 36, MSE : 5.68445355501511

Epoch : 37, MSE : 4.866515496369102

Epoch : 38, MSE : 4.270672915351004

Epoch : 39, MSE : 3.8238810826772602

Epoch : 40, MSE : 3.4714134305619826

Epoch : 41, MSE : 3.1905144050159095

Epoch : 42, MSE : 2.9801301621671095

Epoch : 43, MSE : 2.8143144340502224

Epoch : 44, MSE : 2.6834883690214326

Epoch : 45, MSE : 2.582186444644713

Epoch : 46, MSE : 2.5014411323583507

Epoch : 47, MSE : 2.437361705651778

Epoch : 48, MSE : 2.3849810647677554

Epoch : 49, MSE : 2.3419080893053117

Epoch : 50, MSE : 2.3091880341752824

Epoch : 51, MSE : 2.2802598873306614

Epoch : 52, MSE : 2.257052312214213

Epoch : 53, MSE : 2.23665772004568

Epoch : 54, MSE : 2.219479192635661

Epoch : 55, MSE : 2.2045976762766912

Epoch : 56, MSE : 2.1913813388123304

Epoch : 57, MSE : 2.17894630623773

Epoch : 58, MSE : 2.168138005561902

Epoch : 59, MSE : 2.1578717196874

Epoch : 60, MSE : 2.148302565878599

Epoch : 61, MSE : 2.1394633892778803

Epoch : 62, MSE : 2.13098374808372

Epoch : 63, MSE : 2.1225679502874137

Epoch : 64, MSE : 2.1137956419055834

Epoch : 65, MSE : 2.105642205162312

Epoch : 66, MSE : 2.097851138858293

Epoch : 67, MSE : 2.0898302482953737

Epoch : 68, MSE : 2.082108130548671

Epoch : 69, MSE : 2.0746029315070906

Epoch : 70, MSE : 2.066933313574989

Epoch : 71, MSE : 2.0587699980912917

Epoch : 72, MSE : 2.050815986436176

Epoch : 73, MSE : 2.0427726888380526

Epoch : 74, MSE : 2.0350527394428415

Epoch : 75, MSE : 2.027562913762594

Epoch : 76, MSE : 2.0199607983502976

Epoch : 77, MSE : 2.0128994996234106

Epoch : 78, MSE : 2.0052757161855896

Epoch : 79, MSE : 1.9977222414363471

Epoch : 80, MSE : 1.9901346451352993

Epoch : 81, MSE : 1.9828424131427427

Epoch : 82, MSE : 1.9755961117923015

Epoch : 83, MSE : 1.967978714520304

Epoch : 84, MSE : 1.9604350311702001

Epoch : 85, MSE : 1.9531751302384115

Epoch : 86, MSE : 1.9461092257811277

Epoch : 87, MSE : 1.9384018052446261

Epoch : 88, MSE : 1.9306353893839514

Epoch : 89, MSE : 1.9233374990828067

Epoch : 90, MSE : 1.9158900827662935

Epoch : 91, MSE : 1.9086664631362682

Epoch : 92, MSE : 1.901516864322074

Epoch : 93, MSE : 1.8941680662836538

Epoch : 94, MSE : 1.886837775916926

Epoch : 95, MSE : 1.87956086911074

Epoch : 96, MSE : 1.872598406723214

Epoch : 97, MSE : 1.865428669008237

Epoch : 98, MSE : 1.8582729556662398

Epoch : 99, MSE : 1.8515296076446088

Epoch : 100, MSE : 1.8441552824806287

Epoch : 101, MSE : 1.8371594356929746

Epoch : 102, MSE : 1.8305511629703435

Epoch : 103, MSE : 1.8237748633258284

Epoch : 104, MSE : 1.8166075732305937

Epoch : 105, MSE : 1.809284975015324

Epoch : 106, MSE : 1.8020630990089426

Epoch : 107, MSE : 1.794865979814453

Epoch : 108, MSE : 1.7877186767352344

Epoch : 109, MSE : 1.7806389478608329

Epoch : 110, MSE : 1.7740624820687347

Epoch : 111, MSE : 1.767144089197515

Epoch : 112, MSE : 1.7605828883962407

Epoch : 113, MSE : 1.753831424658788

Epoch : 114, MSE : 1.7471521461642219

Epoch : 115, MSE : 1.7405525094442453

Epoch : 116, MSE : 1.7339953760591682

Epoch : 117, MSE : 1.7272360130778843

Epoch : 118, MSE : 1.7205436091603568

Epoch : 119, MSE : 1.7142806658102427

Epoch : 120, MSE : 1.7072950550206258

Epoch : 121, MSE : 1.700621890243398

Epoch : 122, MSE : 1.6937785169920567

Epoch : 123, MSE : 1.6870086201595311

Epoch : 124, MSE : 1.6804244913586783

Epoch : 125, MSE : 1.6741331998493978

Epoch : 126, MSE : 1.668047550149115

Epoch : 127, MSE : 1.6616494106476165

Epoch : 128, MSE : 1.6550047229377438

Epoch : 129, MSE : 1.648613454992851

Epoch : 130, MSE : 1.6421220885101522

Epoch : 131, MSE : 1.6357201181981493

Epoch : 132, MSE : 1.6295013927134554

Epoch : 133, MSE : 1.6230789018497889

Epoch : 134, MSE : 1.6169914492963846

Epoch : 135, MSE : 1.6108456725697786

Epoch : 136, MSE : 1.604785227431565

Epoch : 137, MSE : 1.5985866661503592

Epoch : 138, MSE : 1.5927589563047715

Epoch : 139, MSE : 1.5868390759477562

Epoch : 140, MSE : 1.5805182814588181

Epoch : 141, MSE : 1.5743158716966485

Epoch : 142, MSE : 1.5681060045444366

Epoch : 143, MSE : 1.5619432219483491

Epoch : 144, MSE : 1.5563661572234342

Epoch : 145, MSE : 1.550490242153126

Epoch : 146, MSE : 1.5438290600396638

Epoch : 147, MSE : 1.537457733303733

Epoch : 148, MSE : 1.531410270765059

Epoch : 149, MSE : 1.5252280217190242

Epoch : 150, MSE : 1.5193135608397546

Epoch : 151, MSE : 1.5137746868855446

Epoch : 152, MSE : 1.5079260064543436

Epoch : 153, MSE : 1.502075820961178

Epoch : 154, MSE : 1.496361815479797

Epoch : 155, MSE : 1.4903523669444645

Epoch : 156, MSE : 1.4845129032912954

Epoch : 157, MSE : 1.4788125312963913

Epoch : 158, MSE : 1.4731441558283949

Epoch : 159, MSE : 1.4677850628054314

Epoch : 160, MSE : 1.4621293410239824

Epoch : 161, MSE : 1.4565811742009658

Epoch : 162, MSE : 1.4510552628056632

Epoch : 163, MSE : 1.4454193157341144

Epoch : 164, MSE : 1.4395487042816395

Epoch : 165, MSE : 1.4341879723088924

Epoch : 166, MSE : 1.428576180559191

Epoch : 167, MSE : 1.42280478193397

Epoch : 168, MSE : 1.4172600976121745

Epoch : 169, MSE : 1.4121360840435864

Epoch : 170, MSE : 1.4067352499512071

Epoch : 171, MSE : 1.4015954718272512

Epoch : 172, MSE : 1.3967595281115108

Epoch : 173, MSE : 1.3915948479349733

Epoch : 174, MSE : 1.3862752436885404

Epoch : 175, MSE : 1.380646802935911

Epoch : 176, MSE : 1.3753505826244887

Epoch : 177, MSE : 1.3700944737718186

Epoch : 178, MSE : 1.3650466085096378

Epoch : 179, MSE : 1.3600701158600919

Epoch : 180, MSE : 1.3552126540254976

Epoch : 181, MSE : 1.3499012720019308

Epoch : 182, MSE : 1.3449395332318197

Epoch : 183, MSE : 1.3398119418472518

Epoch : 184, MSE : 1.3347294622123607

Epoch : 185, MSE : 1.3301204139273477
